Model,MAE,MSE,RMSE,MAPE,R2 Score,Version
Linear Regression,3.0385694200214672,24.69952951487975,4.969862122320875,0.014858191015556592,0.9982057365439702,Baseline
Ridge Regression,3.1804374164588074,26.691927497087995,5.166423085374251,0.015563233526101368,0.9980610015243337,Baseline
Random Forest,8.78166570562494,490.2312576060648,22.141166581868823,0.028043925267842898,0.9643878224483492,Baseline
LightGBM,11.645174308648048,872.323825208058,29.53512866415276,0.03408469823518557,0.9366312317628515,Baseline
XGBoost,12.177416048608995,887.2236907124177,29.786300386459843,0.03666030030238781,0.9355488514625252,Baseline
SVR,28.473796606727625,3969.8684990912984,63.006892472897746,0.08771786241276151,0.7116143459788313,Baseline
Linear Regression,3.1372481142305153,26.22178882419333,5.120721514024496,0.015051722831251713,0.9981805812286728,Feature Engineering
Ridge Regression,3.2610875878249743,27.981116444501307,5.28971799290863,0.01560134371660535,0.998058508942958,Feature Engineering
Random Forest,13.092326938707002,1046.842136246723,32.35493990485414,0.037013796655474863,0.9273640617704086,Feature Engineering
LightGBM,13.276109439171677,1072.137371046246,32.743508838336886,0.03736353809588074,0.9256089326551549,Feature Engineering
XGBoost,14.010249938075118,1142.2123257422443,33.79663186979206,0.039922939287512456,0.9207467285992604,Feature Engineering
SVR,34.07042889925446,6224.724552942698,78.89692359618782,0.09092021230929491,0.5680927501210127,Feature Engineering
Ridge Optuna,3.1371847063372087,26.22066360615641,5.120611643754719,0.015049848906576856,0.9981806593027825,Optuna
Random Forest Optuna,12.079940865743433,906.8011111595946,30.113138513937642,0.03452207298053943,0.9370809148618474,Optuna
LightGBM Optuna,13.417444501777654,1047.297613070559,32.36197789181865,0.038353030721428476,0.9273324581643867,Optuna
